,ebpf-samples,katran,ebpf-ratelimiter-main,ingress-node-firewall-master,bcc,cilium,xdp-mptm-main,bpf-filter-master,ebpf-samples_count,katran_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,bcc_count,cilium_count,xdp-mptm-main_count,bpf-filter-master_count
LB6_BACKEND_MAP_V2,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
CIDR4_HMAP_NAME,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
THROTTLE_MAP,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
SNAT_MAPPING_IPV6,[],[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h']],[],[],0,0,0,0,0,1,0,0
rl_config_map,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
nolocal_lru_map,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
LB6_REVERSE_NAT_MAP,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
LB4_SERVICES_MAP_V2,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
NODEPORT_NEIGH6,[],[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h']],[],[],0,0,0,0,0,1,0,0
CT_TAIL_CALL_BUFFER4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
cilium_xdp_scratch,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
lpm_src_v4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
lpm_src_v6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
rl_recv_count_map,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
LB4_HEALTH_MAP,[],[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c']],[],[],0,0,0,0,0,1,0,0
decap_dst,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
cntrs_array,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
LB4_AFFINITY_MAP,[],[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']]",[],[],0,0,0,0,0,2,0,0
LB6_SRC_RANGE_MAP,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
rl_ports_map,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
prev_prog_map_fd,[],[],"[['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_user.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_user.c']]",[],[],[],[],[],0,0,2,0,0,0,0,0
reals_stats,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
stats,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
CIDR4_LMAP_NAME,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
iface_map,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
map + 1,"[['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/exposeptr.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/mapoverflow.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/exposeptr2.c'], ['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/mapunderflow.c']]",[],"[['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_user.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_user.c']]",[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nat.h']]",[],[],4,0,2,0,0,4,0,0
mptm_tnl_info_map,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
,,,,,,,,,11,2,56,1,0,31,0,0
