,katran,ebpf-ratelimiter-main,ingress-node-firewall-master,bpf-filter-master,cilium,bcc,xdp-mptm-main,ebpf-samples,katran_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,bpf-filter-master_count,cilium_count,bcc_count,xdp-mptm-main_count,ebpf-samples_count
vip_map,[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
per_hckey_stats,[['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
decap_counters,[['/home/palani/github/ebpf-projects-annotations/examples/katran/decap_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
rl_drop_count_map,[],"[['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c']]",[],[],[],[],[],[],0,4,0,0,0,0,0,0
iface_stat_map,[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/bpf-filter-master/ebpf/drop.c']],[],[],[],[],0,0,0,1,0,0,0,0
hc_stats_map,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_ipip.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_kern.c']]",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
mptm_tnl_info_map,[],[],[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/mptm.c'], ['/home/palani/github/ebpf-projects-annotations/examples/xdp-mptm-main/src/kernel/mptm.c']]",[],0,0,0,0,0,0,2,0
map_fd [2],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
hc_key_map,[['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
SRV6_STATE_MAP4,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h']],[],[],[],0,0,0,0,1,0,0,0
LB6_BACKEND_MAP_V2,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
CIDR4_LMAP_NAME,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_xdp.c']],[],[],[],0,0,0,0,1,0,0,0
rl_window_map,[],"[['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/ratelimiting_kern.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c'], ['/home/palani/github/opened_extraction/examples/ebpf-ratelimiter-main/transformed/ratelimiting_kern-TC.c']]",[],[],[],[],[],[],0,4,0,0,0,0,0,0
ENDPOINTS_MAP,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h']]",[],[],[],0,0,0,0,2,0,0,0
ENCRYPT_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/l3.h']],[],[],[],0,0,0,0,1,0,0,0
hc_pckt_srcs_map,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_helpers.h'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/healthchecking_helpers.h']]",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
iface_map,[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/bpf-filter-master/ebpf/drop.c']],[],[],[],[],0,0,0,1,0,0,0,0
SNAT_MAPPING_IPV6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
cilium_capture_cache,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/pcap.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/pcap.h']]",[],[],[],0,0,0,0,2,0,0,0
map_fd[4],[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
SRV6_SID_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h']],[],[],[],0,0,0,0,1,0,0,0
TUNNEL_MAP,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/encap.h'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/encap.h']]",[],[],[],0,0,0,0,2,0,0,0
inner_map,[],[],[],[],[],[],[],[['/home/palani/github/palanik1/ebpf-projects-annotations/projects/ebpf-samples/original_source/map_in_map.c']],0,0,0,0,0,0,0,1
